ip1,ip2,port1,port2,total_num,total_len,flow_time,psh_rate,up_down_len_rate,up_down_num_rate,flow_pkts_rate,flow_bytes_rate,up_time_max,up_time_min,up_time_mean,down_time_max,down_time_min,down_time_mean,up_len_sum,up_len_max,up_len_min,up_len_mean,down_len_sum,down_len_max,down_len_min,down_len_mean,label
107.174.170.252,192.168.23.177,3333,43896,4,1194,9.278110027,0.5,0.034662045,1,0.431122285,128.6900022,9.278074026,9.278074026,9.278074026,9.278073072,9.278073072,9.278073072,40,20,20,20,1154,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,2388,13.88779688,0.5,0.034662045,1,0.576045291,171.9495195,10.14214706,0.862334967,4.629252672,10.14214993,0.862332106,4.629253308,80,20,20,20,2308,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,14,2321,13.33961511,0.5,0.222222222,1,1.049505543,173.9930261,5.653326988,0.156178951,2.223263184,5.653327942,0.155745029,2.223262151,422,161,20,60.28571429,1899,577,20,271.2857143,1
107.174.170.252,192.168.23.177,3333,43896,18,3946,14.26433587,0.5,0.088551724,1,1.261888402,276.6339797,4.492533922,0.187066078,1.783037603,4.492534876,0.187067032,1.783037245,321,161,20,35.66666667,3625,577,20,402.7777778,1
107.174.170.252,192.168.23.177,3333,43896,10,2130,14.22492814,0.5,0.127580731,1,0.702991249,149.737136,9.90039897,0.099775076,3.556217253,9.900827885,0.099349022,3.556221783,241,161,20,48.2,1889,643,20,377.8,1
107.174.170.252,192.168.23.177,3333,43896,6,854,13.96510983,0.5,0.307810107,1,0.429642164,61.15240128,13.57090092,0.394172907,6.982536912,13.57126999,0.393795013,6.982532501,201,161,20,67,653,577,20,217.6666667,1
192.168.23.177,107.174.170.252,43896,3333,8,1584,12.12447,0.5,0.162142333,1,0.659822656,130.644886,10.07963109,0.403188944,4.041489998,10.079633,0.402721882,4.041337967,221,161,20,55.25,1363,710,20,340.75,1
107.174.170.252,192.168.23.177,3333,43896,6,1791,6.459218025,0.5,0.034662045,1,0.928905012,277.2781462,3.669577837,2.789602995,3.229590416,3.669579029,2.789602995,3.229591012,60,20,20,20,1731,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,22,3364,12.1304431,0.5,0.23631018,1,1.813618829,277.3188064,5.98248601,0.083790779,1.213040996,5.982923985,0.083332062,1.213040614,643,161,20,58.45454545,2721,643,20,247.3636364,1
192.168.23.177,107.174.170.252,43896,3333,26,3092,14.52639103,0.5,0.453690644,1,1.789845802,212.85397,3.673186064,0.189259052,1.210532586,3.673572063,0.189248085,1.210501174,965,161,20,74.23076923,2127,577,20,163.6153846,1
107.174.170.252,192.168.23.177,3333,43896,16,3855,14.23095703,0.5,0.084693303,1,1.124309487,270.888317,4.489511013,0.088594913,2.032988582,4.489506006,0.088169098,2.032988719,301,161,20,37.625,3554,577,20,444.25,1
107.174.170.252,192.168.23.177,3333,43896,24,3863,13.27037716,0.5,0.2071875,1,1.808539404,291.0994883,5.720323086,0.147246838,1.206394542,5.720324039,0.147687912,1.206394564,663,161,20,55.25,3200,577,20,266.6666667,1
107.174.170.252,192.168.23.177,3333,43896,10,2985,10.59204698,0.5,0.034662045,1,0.944104574,281.8152154,5.967442989,0.306783915,2.648002744,5.967449188,0.306775808,2.648002744,100,20,20,20,2885,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,2388,14.18629718,0.5,0.034662045,1,0.563924462,168.3314518,6.602658987,1.889129877,4.72874999,6.602690935,1.889109135,4.728745699,80,20,20,20,2308,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,10,3118,11.3384521,0.5,0.033134526,1,0.881954601,274.9934446,5.830482006,0.919475079,2.834604025,5.830483198,0.919442892,2.834601283,100,20,20,20,3018,710,577,603.6,1
192.168.23.177,107.174.170.252,43896,3333,36,4234,14.82365417,0.5,0.466574299,1,2.428550989,285.6245802,4.62414813,0.032483816,0.871979657,4.624145031,0.032110929,0.871955353,1347,161,20,74.83333333,2887,577,20,160.3888889,1
107.174.170.252,192.168.23.177,3333,43896,24,2911,14.79340506,0.5,0.381585192,1,1.622344545,196.7768738,4.32347703,0.024466991,1.344851646,4.323949814,0.024060965,1.344834198,804,161,20,67,2107,577,20,175.5833333,1
107.174.170.252,192.168.23.177,3333,43896,20,2759,14.78818703,0.5,0.382957393,1,1.352430826,186.5678325,10.71431994,0.111144066,1.643079784,10.71479011,0.111586094,1.643131892,764,161,20,76.4,1995,577,20,199.5,1
107.174.170.252,192.168.23.177,3333,43896,26,3492,13.92087293,0.5,0.308845577,1,1.867698968,250.8463383,4.412644863,0.330888033,1.160067995,4.413771152,0.331335068,1.160069168,824,161,20,63.38461538,2668,577,20,205.2307692,1
107.174.170.252,192.168.23.177,3333,43896,10,2627,10.72512507,0.5,0.039572616,1,0.932390059,244.9388685,4.099355936,0.196680069,2.681263268,4.099364996,0.196686029,2.681247294,100,20,20,20,2527,643,87,505.4,1
107.174.170.252,192.168.23.177,3333,43896,10,2985,11.44513893,0.5,0.034662045,1,0.873733387,260.8094159,3.930506945,1.390398026,2.861275733,3.930525064,1.390398979,2.861275971,100,20,20,20,2885,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,10,3051,10.29753017,0.5,0.033886818,1,0.971106647,296.284638,4.443530083,0.514235973,2.574372292,4.44355011,0.514227867,2.574371517,100,20,20,20,2951,643,577,590.2,1
107.174.170.252,192.168.23.177,3333,43896,6,1791,11.58409214,0.5,0.034662045,1,0.517951681,154.6085769,5.926226139,5.657825947,5.792026043,5.926227093,5.657828093,5.792027593,60,20,20,20,1731,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,1972,14.71805096,0.5,0.126213592,1,0.543550231,133.985132,7.549841881,1.251998186,4.905757984,7.550621986,1.252002954,4.906016986,221,161,20,55.25,1751,577,20,437.75,1
